Last Activity Date,Total Call Count,Resource Account
"2026-06-19T00:00:00",2,"Behr-US-SaukVillageServiceCenter@behr.com"
"2026-06-22T00:00:00",25,"Behr-US-StandardServiceCenter@behr.com"
"2026-06-22T00:00:00",11,"Behr.KT.ServiceCenter@behr.com"
"2026-06-22T00:00:00",6,"Behr-US-SaukVillageServiceCenter@behr.com"
"2026-06-22T00:00:00",2,"Behr-US-RoanokeServiceCenter@behr.com"
"2026-06-23T00:00:00",20,"Behr-US-StandardServiceCenter@behr.com"
"2026-06-23T00:00:00",5,"Behr-US-SaukVillageServiceCenter@behr.com"
"2026-06-23T00:00:00",8,"Behr.KT.ServiceCenter@behr.com"
"2026-06-23T00:00:00",1,"Behr.Orlando.ServiceCenter@behr.com"
"2026-06-24T00:00:00",21,"Behr-US-StandardServiceCenter@behr.com"
"2026-06-24T00:00:00",8,"Behr.KT.ServiceCenter@behr.com"
"2026-06-24T00:00:00",2,"Behr-US-RoanokeServiceCenter@behr.com"
"2026-06-24T00:00:00",1,"Behr-US-SaukVillageServiceCenter@behr.com"
"2026-06-24T00:00:00",1,"Behr.Orlando.ServiceCenter@behr.com"
"2026-06-25T00:00:00",22,"Behr-US-StandardServiceCenter@behr.com"
"2026-06-25T00:00:00",7,"Behr.KT.ServiceCenter@behr.com"
"2026-06-25T00:00:00",5,"Behr-US-SaukVillageServiceCenter@behr.com"
"2026-06-25T00:00:00",4,"Behr-US-RoanokeServiceCenter@behr.com"
